,AgFFF,Coal,OilGas,MetMin,NMetMin,FoodPr,Textile,Apparel,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MetalPr,GenEqp,SpecEqp,TransEqp,ElecEqp,ICTEqp,PrecInst,OthMfg,Waste,MachRep,GasDist,WatDist,Constr,WhRetTr,TranspSrv,HotRest,ICTServ,Finance,RealEst,BusServe,ResTech,EnvServ,ResServ,Education,Health,RecEnt,PubAdm,T_D,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
Coal,47.97886606,51930.48919,281.0879371,819.7876678,621.1381216,1630.076025,1209.23504,205.2391102,463.6822769,2425.686106,1228.270455,24967.99231,22480.85697,61263.65657,1444.578185,662.3031681,673.1486521,292.7668464,192.7332813,0,0,790.0071221,133.0471543,35.00610795,1933.802761,18.22224132,1256.443779,3.544552735,511.1987128,31.24813718,0,0,26.8029303,8.486144824,113.8854465,151.3093036,159.1228878,258.0723037,288.0665515,67.92307161,274.3489483,0,78486.32506,0,0,0,0,0,0,0
GasDist,8.856508562,38.51475372,15.94872078,1.146097123,2.146393415,35.46519008,5.071089691,7.54876679,1.294334564,22.41944361,376.9186798,1450.113704,89.51845934,355.5835117,243.8606916,539.5867418,30.78343204,5.261376588,30.87696812,59.72644569,1.531962041,69.36035931,5.105751744,0.497722642,3694.33025,3.259903289,11.99569335,16.06799817,7733.741792,807.3970381,8.395766717,26.94909282,879.2349387,84.82511329,51.22504782,201.4656628,754.2816476,267.4620463,111.1306387,98.77835629,106.7501857,0,0,0,713.3317235,0,0,0,0,0
RefPet,2795.373839,323.1563989,750.2148682,1184.384371,704.5849754,266.1035629,138.353391,43.8140634,183.0846709,190.7764127,5233.69749,13084.93453,3086.20061,2055.984963,381.2271782,439.5500462,262.9462874,427.6828593,327.3910477,266.8888998,35.83304543,27.56514221,33.00068443,22.02233852,62.46441427,7.295310544,3184.740943,408.0673654,17466.84935,141.742384,90.00294272,471.5991047,133.4056901,3944.815243,1403.661589,238.1720874,219.1224578,289.6479268,70.9186698,58.83169869,1177.161372,0,0,3699.779781,0,0,0,0,0,0
Coal_Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8352.81249,,,,,,,,
Oil_Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.2488,,,,,,,,
Gas_Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.3122,,,,,,,,
Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.51854,,,,,,,,
Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251.39603,,,,,,,,
Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.38098,,,,,,,,
Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.64374,,,,,,,,
Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.08114,,,,,,,,
