Scenario,year,variable,sector,qualifier,type,value
BAU,2012,xp,AgFFF,,S1,9837.195962
BAU,2012,px,AgFFF,,S2,0.932954452
BAU,2012,nd,AgFFF,,S2,3765.898844
BAU,2012,pva,AgFFF,,S2,0.919840272
BAU,2012,xp,Coal,,S1,3012.069909
BAU,2012,px,Coal,,S2,0.958962641
BAU,2012,nd,Coal,,S2,1893.668719
BAU,2012,pva,Coal,,S2,0.94779335
BAU,2012,xp,OilGas,,S1,1372.870816
BAU,2012,px,OilGas,,S2,0.972297281
BAU,2012,nd,OilGas,,S2,786.0508401
BAU,2012,pva,OilGas,,S2,0.975126649
BAU,2012,xp,MetMin,,S1,1398.680453
BAU,2012,px,MetMin,,S2,0.967008543
BAU,2012,nd,MetMin,,S2,952.1213289
BAU,2012,pva,MetMin,,S2,0.956203432
BAU,2012,xp,NMetMin,,S1,693.349928
BAU,2012,px,NMetMin,,S2,0.963607029
BAU,2012,nd,NMetMin,,S2,466.2633514
BAU,2012,pva,NMetMin,,S2,0.950814926
BAU,2012,xp,FoodPr,,S1,9773.633794
BAU,2012,px,FoodPr,,S2,0.950094005
BAU,2012,nd,FoodPr,,S2,8177.035796
BAU,2012,pva,FoodPr,,S2,0.962639097
BAU,2012,xp,Textile,,S1,6033.001974
BAU,2012,px,Textile,,S2,0.954445403
BAU,2012,nd,Textile,,S2,5034.979311
BAU,2012,pva,Textile,,S2,0.950924239
BAU,2012,xp,Apparel,,S1,1390.799142
BAU,2012,px,Apparel,,S2,0.956896188
BAU,2012,nd,Apparel,,S2,1116.241899
BAU,2012,pva,Apparel,,S2,0.950523251
BAU,2012,xp,WoodPr,,S1,2049.722984
BAU,2012,px,WoodPr,,S2,0.958121971
BAU,2012,nd,WoodPr,,S2,1674.236978
BAU,2012,pva,WoodPr,,S2,0.955481021
BAU,2012,xp,PaperPr,,S1,3208.950438
BAU,2012,px,PaperPr,,S2,0.96277185
BAU,2012,nd,PaperPr,,S2,2569.456126
BAU,2012,pva,PaperPr,,S2,0.952318152
BAU,2012,xp,RefPet,,S1,3795.494812
BAU,2012,px,RefPet,,S2,0.982848622
BAU,2012,nd,RefPet,,S2,3584.035045
BAU,2012,pva,RefPet,,S2,0.961964201
BAU,2012,xp,Chemical,,S1,13249.01992
BAU,2012,px,Chemical,,S2,0.967785991
BAU,2012,nd,Chemical,,S2,11127.6004
BAU,2012,pva,Chemical,,S2,0.964956662
BAU,2012,xp,NMetPr,,S1,5006.127906
BAU,2012,px,NMetPr,,S2,0.965830531
BAU,2012,nd,NMetPr,,S2,4007.328962
BAU,2012,pva,NMetPr,,S2,0.957861635
BAU,2012,xp,Metals,,S1,11928.09394
BAU,2012,px,Metals,,S2,0.973781921
BAU,2012,nd,Metals,,S2,10112.50677
BAU,2012,pva,Metals,,S2,0.968830419
BAU,2012,xp,MetalPr,,S1,3474.548354
BAU,2012,px,MetalPr,,S2,0.9693028
BAU,2012,nd,MetalPr,,S2,2896.388912
BAU,2012,pva,MetalPr,,S2,0.955791005
BAU,2012,xp,GenEqp,,S1,4593.79836
BAU,2012,px,GenEqp,,S2,0.968772114
BAU,2012,nd,GenEqp,,S2,3792.566686
BAU,2012,pva,GenEqp,,S2,0.951837423
BAU,2012,xp,SpecEqp,,S1,3381.226996
BAU,2012,px,SpecEqp,,S2,0.967998895
BAU,2012,nd,SpecEqp,,S2,2761.593864
BAU,2012,pva,SpecEqp,,S2,0.951773445
BAU,2012,xp,TransEqp,,S1,7008.259816
BAU,2012,px,TransEqp,,S2,0.967646133
BAU,2012,nd,TransEqp,,S2,5861.801939
BAU,2012,pva,TransEqp,,S2,0.953111629
BAU,2012,xp,ElecEqp,,S1,5421.836827
BAU,2012,px,ElecEqp,,S2,0.970799215
BAU,2012,nd,ElecEqp,,S2,4650.099874
BAU,2012,pva,ElecEqp,,S2,0.959690142
