"SAM","AgFFF","Coal","OilGas","MetMin","NMetMin","FoodPr","Textile","Apparel","WoodPr","PaperPr","RefPet","Chemical","NMetPr","Metals","MetalPr","GenEqp","SpecEqp","TransEqp","ElecEqp","ICTEqp","PrecInst","OthMfg","Waste","MachRep","T_D","Coal_Power","Oil_Power","Gas_Power","Nuclear","Hydro","Wind","Solar","Biomass","GasDist","WatDist","Constr","WhRetTr","TranspSrv","HotRest","ICTServ","Finance","RealEst","BusServe","ResTech","EnvServ","ResServ","Education","Health","RecEnt","PubAdm","LabSk","LabUn","Capital","prodtax","Depr","HHRural","HHUrban","Govt","Capacct","Invent","ROW","ENTERPRISE","Total","Land","Natr"
"AgFFF",1239.692058309,1.576216891,0.040002984,0.434485339,0.471256640,3210.980129535,658.571133367,80.675427404,208.252989244,129.054447144,0.133334155,443.626216326,1.748733386,1.232612171,1.529465265,0.482193003,0.910775073,0.317009124,0.193460908,0.000000000,0.000000000,13.157380490,0.105083427,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.486297708,0.006084209,0.074943488,108.650490822,1.422938299,79.890473424,262.721267806,5.221711247,0.063666321,0.938115292,24.312697824,21.304602535,42.485862203,6.871313892,12.052338580,5.813019252,2.923214206,0.040266681,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,811.525611447,1269.026385750,60.784086103,677.352178995,0.000000000,78.705699834,0.000000000,0.000000000,0.000000000,0.000000000
"Coal",0.535582630,579.694149682,3.137752700,9.151196579,6.933694269,18.196353429,13.498553342,2.291060865,5.176032567,27.077658359,13.711043512,278.714860974,250.951251796,683.879236594,16.125662124,7.393215005,7.514281910,3.268123038,2.151459717,0.000000000,0.000000000,8.818759732,1.485190265,0.390769205,0.000000000,876.133927857,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,21.586820477,0.203412809,14.025539130,0.039567439,5.706453141,0.348819404,0.000000000,0.000000000,0.299198065,0.094729870,1.271290298,1.689048562,1.776270714,2.880831800,3.215654180,0.758217530,3.062526134,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.824438724,6.321964897,0.000000000,25.580236030,0.000000000,13.740278345,0.000000000,0.000000000,0.000000000,0.000000000
"OilGas",0.000000000,7.593691764,10.108132687,0.873020570,0.907762672,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2231.990120340,138.541112762,7.279525488,4.321844591,2.085769169,1.313379707,2.117161803,1.603077181,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,48.061152510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,141.405240160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,33.329734095,0.000000000,18.696563148,0.000000000,0.000000000,0.000000000,0.000000000
"MetMin",0.000000000,1.288982095,0.000669382,178.069093429,1.782741567,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.880718165,53.554334828,25.039451611,1779.876016712,21.621762333,2.166278773,1.018639077,0.381892892,6.021646354,0.000000000,0.000000000,0.116467678,0.580867699,0.088683754,0.001815523,0.000713255,0.000000000,0.000000000,0.000328037,0.000599860,0.000370894,0.000000000,0.000199146,0.810470667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.923556611,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6.148820438,0.000000000,5.929159388,0.000000000,0.000000000,0.000000000,0.000000000
"NMetMin",0.054006199,6.211468825,126.742734168,3.507034255,8.140097924,3.666994478,0.015666343,0.084023372,0.334524598,5.019497546,0.001153341,87.859641623,329.454102165,9.016498773,1.119940251,0.345711888,1.609693756,0.706803277,4.464694646,0.000000000,0.000000000,0.033869841,0.018923491,0.011314218,0.779704007,0.306318271,0.028555019,0.010889097,0.140880714,0.257619193,0.159286028,0.003963824,0.085526236,0.004969723,0.002129160,77.285668119,0.000000000,0.097967910,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.095725738,0.012539665,0.033264416,0.001467146,0.000000000,0.029071966,0.000154006,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,12.787259074,0.000000000,0.000000000,0.000000000,0.000000000
"FoodPr",954.976870633,8.946432344,5.143037937,7.194598221,3.702240065,2033.618250997,17.988684911,117.274616260,8.913762951,15.132784396,21.982511016,284.921792999,21.443054668,42.892350522,14.705704801,21.746841487,12.733926015,15.139970691,21.081225380,26.092168809,2.772664075,4.591576195,2.055266398,0.154623463,7.002828771,2.751165031,0.256463873,0.097799267,1.265305177,2.313779433,1.430610555,0.035600667,0.768144812,1.021575899,2.053881193,35.122892502,21.353205462,79.634167735,724.368003605,20.451087755,15.781887819,15.884446832,50.638336037,21.916752470,5.837392523,41.669506716,48.155056609,30.332033117,52.653565928,49.834936106,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1058.763607272,2769.232832230,0.000000000,183.729478353,0.000000000,287.160756058,0.000000000,0.000000000,0.000000000,0.000000000
"Textile",2.054360665,7.321776552,2.250087250,4.600372012,1.773508717,15.242841661,2547.121679999,118.240206917,30.545045254,123.447223390,2.428322101,165.718603453,40.317898286,16.625499321,14.803669475,13.518249443,15.471065855,40.587118474,15.471697807,5.858606897,1.389946812,25.094222787,2.704310629,0.511424723,1.290143515,0.506851994,0.047248792,0.018017732,0.233109408,0.426271672,0.263563910,0.006558774,0.141516676,0.489958891,0.878458493,60.993090964,7.105731508,24.837443499,24.332138173,2.344021968,33.125153448,8.030788129,48.463834000,8.566753718,8.516237217,12.185300161,5.287861119,50.743295621,22.511278410,74.603117775,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,156.939416561,565.915035698,0.000000000,31.727333704,0.000000000,1234.616570172,0.000000000,0.000000000,0.000000000,0.000000000
"Apparel",2.029937918,0.510588692,0.263989425,0.214408655,0.124106592,0.223781643,68.308389769,297.633041867,22.242493201,7.983408619,0.027198517,12.212623873,0.343796680,0.269440608,0.350347022,0.268721404,4.128145136,40.046372092,2.136205034,0.392703354,0.267927664,0.255020093,0.025692654,0.055322384,0.008775871,0.003447731,0.000321398,0.000122561,0.001585667,0.002899604,0.001792826,0.000000000,0.000962631,0.013499427,0.012386817,1.153183242,0.974052258,1.473680981,0.295366823,0.682518204,1.042096057,1.890929674,0.891321598,0.264974205,0.419562192,2.899651343,0.289435640,0.500721587,1.174487534,33.975504950,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,72.321938577,341.388485482,0.000000000,3.406887060,0.000000000,397.539467731,0.000000000,0.000000000,0.000000000,0.000000000
"WoodPr",2.111490181,40.867777358,0.146677263,1.923870091,0.720215251,3.673481313,6.763930805,1.670302824,649.434231641,50.605507880,0.898757821,13.759766735,18.401828642,7.545907647,24.469587486,19.005353468,10.935637266,40.950573658,8.490595627,3.394252197,0.785971169,7.242799580,0.212096770,0.332884577,0.050010452,0.019647347,0.001831528,0.000698430,0.009036132,0.016523773,0.010216654,0.000254241,0.005485679,0.036938160,0.019478937,331.694411885,2.378608673,4.193289505,2.027466554,1.085834158,4.479321743,2.158906267,1.777194031,0.848286698,1.684435709,2.727991332,0.006166526,0.013563914,2.642075901,14.707043948,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,25.452184066,91.149315041,0.000000000,161.102096038,0.000000000,364.088549803,0.000000000,0.000000000,0.000000000,0.000000000
"PaperPr",1.423429072,2.577929120,0.701165628,5.153592205,0.868496509,109.452354101,23.065375321,14.017991550,17.767750916,763.637839482,1.396651433,79.505793644,70.036113711,7.741276205,16.889571866,28.991060497,12.167989225,14.627099195,55.769536191,47.475653410,5.321489047,3.736053634,0.905501778,0.603314719,2.991950643,1.175432136,0.109573898,0.041784626,0.540600201,0.988559636,0.611226736,0.015210345,0.328188999,0.274677314,0.426533671,35.186133048,73.803085026,25.492313693,8.932503274,79.586282074,189.086103819,21.421955924,276.482261114,27.774971832,6.920665742,18.971835583,49.700351378,6.897951690,55.615772069,81.577695822,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,36.009074500,150.124753139,0.000000000,85.151645378,0.000000000,561.725433045,0.000000000,0.000000000,0.000000000,0.000000000
