country,gdppc,erg,pop
Tanzania,217.8,0.1," 38,478 "
Democratic Republic of Congo,#N/A,#N/A,#N/A
Ethiopia,99.8,0.1," 75,173 "
Yemen,#N/A,0.7,#N/A
Zambia,282.1,0.6," 11,478 "
Congo,#N/A,#N/A,#N/A
Eritrea,165.6,0.1," 4,527 "
Benin,289.2,0.2," 8,490 "
Kenya,393.7,0.3," 35,599 "
Nigeria,358.2,0.5," 141,356 "
Iraq,#N/A,2.8,#N/A
Tajikistan,201.5,2.5," 6,550 "
Mozambique,192.4,0.5," 20,533 "
Other Africa,#N/A,#N/A,#N/A
Nepal,168.3,0.1," 27,094 "
North Korea,#N/A,#N/A,#N/A
Togo,254.4,0.3," 6,239 "
Cote d'Ivoire,#N/A,#N/A,#N/A
Senegal,427.4,0.4," 11,770 "
Moldova,438.1,1.9," 3,877 "
Haiti,378.9,0.2," 9,296 "
Uzbekistan,572.7,4.7," 26,167 "
Bangladesh,305.6,0.3," 153,281 "
Kyrgyzstan,#N/A,2.3,#N/A
Sudan,268.8,0.3," 36,900 "
Other Asia,#N/A,#N/A,#N/A
Zimbabwe,#N/A,0.9,#N/A
Cameroon,552.3,0.3," 17,795 "
Angola,404.2,0.6," 16,095 "
Pakistan,509.1,0.8," 155,772 "
Ghana,331.7,0.4," 22,535 "
Bolivia,925.4,1.3," 9,182 "
Vietnam,327.4,0.9," 83,105 "
Georgia,807.8,1.9," 4,473 "
Honduras,770.0,0.9," 6,834 "
Serbia and Montenegro,#N/A,#N/A,#N/A
India,389.9,0.9," 1,094,583 "
Syria,#N/A,2.4,#N/A
Indonesia,475.5,1.4," 220,558 "
Nicaragua,654.0,0.7," 5,463 "
Ecuador,1780.5,1.8," 13,061 "
Armenia,627.0,3.7," 3,018 "
Azerbaijan,529.8,4.6," 8,392 "
Egypt,#N/A,2.2,#N/A
Jamaica,2917.0,3.5," 2,655 "
Guatemala,1360.4,0.9," 12,710 "
Morocco,1328.0,1.1," 30,143 "
Sri Lanka,824.9,0.6," 19,668 "
Philippines,770.7,0.9," 84,566 "
Jordan,1462.1,3.1," 5,412 "
Paraguay,1341.9,3.9," 5,899 "
Albania,877.8,2.1," 3,154 "
El Salvador,1800.8,1.1," 6,668 "
Peru,2080.8,1.3," 27,274 "
Myanmar,#N/A,#N/A,#N/A
Lebanon,4216.2,3.9," 4,011 "
China,801.2,3.0," 1,304,500 "
Venezuela,#N/A,6.9,#N/A
Ukraine,889.1,7.5," 47,105 "
Libya,4604.4,7.8," 5,918 "
Gabon,3578.7,1.6," 1,291 "
Turkmenistan,#N/A,10.2,#N/A
